Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Latitude,Longitude,Nearest Waste Site,Nearest Site Category,Distance,Within 45 Mins?
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REF81,ST AUSTELL COMMUNITY HOSPITAL,PL26 6AD,50.327864,-4.772405,Stoneybridge Park EPR/YP3934SM,Incineration,35.0 km,Yes
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REFORS,OTHER REPORTABLE SITES,TR1 3LJ,50.266675,-5.091511,Stoneybridge Park EPR/YP3934SM,Incineration,69.1 km,No
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,REFY1,SUSTENTATION,TR15 3RQ,50.227412,-5.251429,Stoneybridge Park EPR/YP3934SM,Incineration,72.5 km,No
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - LARGE,V8H3Z,RCHT CENTRAL STORES,TR4 9LD,50.261693,-5.123058,Stoneybridge Park EPR/YP3934SM,Incineration,67.4 km,No
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH523,PARKGATE HOUSE,TA1 3EX,51.016138,-3.091189,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,24.2 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH572,ROWAN,BA20 2BX,50.946533,-2.648117,South West Waste Recovery Facility,Treatment,51.5 km,No
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH576,HOLFORD,TA2 7AZ,51.03289,-3.101937,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,25.9 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5A8,MUSGROVE PARK HOSPITAL,TA1 5DA,51.011569,-3.121702,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,27.1 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5C5,BROADWAY HOUSE,TA6 5YA,,,N/A,N/A,0,N/A
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5C8,GLANVILLE HOUSE,TA6 5AT,51.131103,-2.998114,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,6.1 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5D1,FOUNDATION HOUSE,TA2 7PQ,51.031851,-3.102383,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,25.7 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F1,WELLINGTON AND DISTRICT COTTAGE HOSPITAL,TA21 8QQ,50.976665,-3.227424,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,36.1 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F2,CHARD HOSPITAL,TA20 1NF,50.874987,-2.952378,South West Waste Recovery Facility,Treatment,24.9 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F4,BURNHAM-ON-SEA WAR MEMORIAL HOSPITAL,TA8 1ED,51.238794,-2.993884,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,9.5 km,Yes
RH5,SOMERSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,RH5F5,MINEHEAD COMMUNITY HOSPITAL,TA24 6DF,51.200109,-3.461912,Walpole Recovery Facility and Landfill Site - EPR/BK6785IE,Landfill,46.3 km,No
