Trust Code,Trust Name,Commissioning Region,Trust Type,Site Code,Site Name,Post Code,Integrated Care Board,Local Authority,Site Type,Incineration (clinical waste) cost (£),Incineration (clinical waste) weight (Tonnes),Alternative Treatment (clinical waste) cost (£),Alternative Treatment (clinical waste) weight (Tonnes),Offensive waste cost (£),Offensive waste weight (Tonnes),Clinical waste (excluding incineration) processed on site cost (£),Clinical waste (excluding incineration) processed on site weight (Tonnes),Clinical waste processed at municipal waste plants cost (£),Clinical waste processed at municipal waste plants weight (Tonnes),Latitude,Longitude,Incin_Waste,AT_Waste,Total_Waste,Cluster
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYEY,WESTMINSTER MEMORIAL HOSPITAL,SP7 8BD,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1697,0.86,1027,1.15,4329,5.09,0,0,0,0,51.004714,-2.200145,0.86,6.24,7.1000000000000005,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFC,YEATMAN HOSPITAL,DT9 3JU,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),1123,0.83,3117,2.72,10160,9.21,0,0,0,0,50.949725,-2.519044,0.83,11.930000000000001,12.760000000000002,12
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFD,WAREHAM COMMUNITY HOSPITAL,BH20 4QQ,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,1925,0.96,824,0.5,1747,3.2,0,0,0,0,50.686975,-2.116741,0.96,3.7,4.66,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFE,WIMBORNE COMMUNITY HOSPITAL,BH21 1ER,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),4424,3.27,2528,2.92,6384,5.86,0,0,0,0,50.802186,-1.995911,3.27,8.780000000000001,12.05,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFF,SWANAGE COMMUNITY HOSPITAL,BH19 2ES,NHS DORSET ICB,DORSET COUNCIL,Community hospital (with inpatient beds),633,0.33,2685,3.07,4269,4.36,0,0,0,0,50.605498,-1.961207,0.33,7.43,7.76,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFG,ST LEONARDS COMMUNITY HOSPITAL,BH24 2RR,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,1897,1.14,979,0.46,2625,3.57,0,0,0,0,50.81735,-1.856599,1.14,4.03,5.17,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFP,FREDERICK TREVES HOUSE,DT1 2FD,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.713492,-2.457605,0.0,0.0,0.0,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYFT,MAIDEN CASTLE,DT1 2ER,NHS DORSET ICB,DORSET COUNCIL,Mental Health and Learning Disabilities,628,0.1,393,0.19,1590,1.45,0,0,0,0,50.706052,-2.444546,0.1,1.64,1.74,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYJP,LITTLEMOOR HEALTH CENTRE,DT3 6SA,NHS DORSET ICB,DORSET COUNCIL,Non inpatient,0,0.0,0,0.0,0,0.0,0,0,0,0,50.647736,-2.455409,0.0,0.0,0.0,0
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYNM,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST HQ (SENTINAL HOUSE),BH17 0RB,NHS DORSET ICB,BCP COUNCIL,Non inpatient,Not Applicable,0.0,Not Applicable,0.0,1622,0.07,Not Applicable,Not Applicable,Not Applicable,Not Applicable,50.740063,-1.978032,0.0,0.07,0.07,11
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,RDYORS,OTHER REPORTABLE SITES,BH1 4JQ,NHS DORSET ICB,BCP COUNCIL,Other Reportable Site,10044,3.72,10504,8.75,4257,2.91,0,0,0,0,50.729255,-1.841466,3.72,11.66,15.38,11
